cid,area_poly,osm_points_per_poly,poi_density
309,1145433.4208984375,33,2.8810055126657617e-05
187,988667.7690429688,8,8.091696979000343e-06
12,1174596.0891113281,296,0.0002520015201344206
243,2277752.2563476562,70,3.073205165527704e-05
308,253488.87036132812,33,0.00013018323034443737
284,791376.5817871094,168,0.00021228831363775963
126,1527689.2749023438,59,3.86204190664175e-05
35,930029.3942871094,41,4.408462813310059e-05
61,1328876.3293457031,172,0.00012943266141604568
274,2200839.83203125,5,2.2718600087246168e-06
49,888359.6164550781,117,0.00013170342036356665
21,731969.9484863281,2,2.7323526111090835e-06
267,2623346.0966796875,11,4.193118099789602e-06
85,2737757.7067871094,65,2.374205717286817e-05
158,3455119.485595703,19,5.499086233981334e-06
14,1455839.1865234375,194,0.0001332564762618284
198,1072379.1684570312,16,1.492009586779016e-05
58,1045357.0629882812,79,7.557226405891287e-05
237,924027.265625,56,6.0604272279911926e-05
213,3347372.6618652344,30,8.962252796580855e-06
277,2285732.7268066406,9,3.9374682325932966e-06
107,1021502.8264160156,270,0.00026431644927239805
205,1481202.8410644531,17,1.1477158650183997e-05
55,1491393.1059570312,28,1.8774392806403862e-05
44,2376772.6469726562,57,2.398210029579483e-05
81,3516037.515625,7,1.990877505968733e-06
92,2577064.622314453,4,1.5521535491832616e-06
108,1485628.2561035156,4,2.6924635981891877e-06
82,1702214.2270507812,19,1.116193232206676e-05
22,617847.7927246094,186,0.00030104501819092034
121,1149673.7817382812,12,1.0437743463068512e-05
159,831580.8955078125,50,6.01264414203107e-05
156,1068308.9074707031,34,3.182600066538564e-05
255,1611703.2153320312,12,7.445539529762524e-06
153,909135.0397949219,2,2.199893208880333e-06
105,1975870.7902832031,17,8.603801464954789e-06
212,4371303.974121094,29,6.63417601971522e-06
256,1980897.2717285156,10,5.048217362263353e-06
291,691839.1215820312,11,1.589965015977451e-05
112,3217747.9169921875,76,2.3619003713330515e-05
32,1159590.4462890625,14,1.2073228133952807e-05
142,2907752.716064453,105,3.6110360905143964e-05
75,601004.7980957031,229,0.00038102857202736406
89,3969417.3610839844,0,0.0
195,1126816.8508300781,23,2.041148034221966e-05
253,1910387.1564941406,26,1.3609806740804344e-05
209,3710773.132080078,16,4.311769927856296e-06
38,1088050.3930664062,0,0.0
2,4179450.5041503906,3,7.177977097756893e-07
272,2305111.7600097656,14,6.0734582343810906e-06
223,692686.5603027344,149,0.0002151045054705269
95,4144280.5310058594,32,7.721485010628195e-06
168,1453083.1013183594,0,0.0
247,1820338.0512695312,17,9.338924705850072e-06
179,2642040.8686523438,23,8.70539145434638e-06
248,2091914.2575683594,19,9.082590231057365e-06
292,300363.2775878906,145,0.00048274876064891426
239,1537680.4125976562,4,2.6013207733085854e-06
56,700857.8095703125,123,0.00017549922155452591
312,512740.6220703125,30,5.850911495732062e-05
1,2527349.083251953,5,1.978357494472617e-06
83,3478241.602294922,17,4.887527073675247e-06
152,1750135.3569335938,3,1.7141531299934938e-06
91,2172648.827392578,17,7.824550284273001e-06
147,1254985.8537597656,1,7.968217307024912e-07
130,2979238.158935547,39,1.3090594950601172e-05
172,908881.9326171875,89,9.792250985088727e-05
64,1129289.8022460938,0,0.0
134,3712175.0568847656,11,2.9632223242271157e-06
123,1210229.8100585938,6,4.95773608461149e-06
245,2446649.853515625,3,1.2261664641915386e-06
171,1118256.92578125,518,0.00046322091825016745
242,1538486.0205078125,0,0.0
220,1491918.7407226562,1000,0.000670277792418922
103,1980390.9018554688,0,0.0
30,1146607.5112304688,17,1.4826346272367118e-05
52,3861924.3005371094,0,0.0
225,1062669.1730957031,247,0.00023243357975695733
218,3703766.1506347656,1,2.699954476954805e-07
257,1783972.0212402344,10,5.605469077395006e-06
233,1718527.1394042969,15,8.728404490137723e-06
139,819287.3332519531,11,1.3426303024041996e-05
63,857948.7844238281,143,0.00016667661589617425
273,744947.1745605469,187,0.00025102451071153266
208,1076864.1018066406,118,0.000109577429317249
294,401927.79541015625,155,0.0003856414056704557
25,2965348.020263672,121,4.080465401468828e-05
71,860500.8989257812,397,0.00046135919264651636
20,892956.2204589844,17,1.9037887424382247e-05
11,2320162.5927734375,1,4.310042766462486e-07
148,833118.9096679688,26,3.1208030088240395e-05
246,3233150.0190429688,21,6.4952136078783384e-06
185,1375290.37109375,87,6.32593682240428e-05
295,712417.2800292969,33,4.632116727803533e-05
